time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
1.335938,-1.849082,-1.849082,-1.383090,-1.564025,-2.951211,-1.849082
1.343750,-1.793712,-1.793712,-1.354643,-1.498474,-2.976269,-1.793712
1.351562,-1.849203,-1.849203,-1.383286,-1.564446,-2.951146,-1.849203
1.359375,-1.793664,-1.793664,-1.354444,-1.498046,-2.976340,-1.793664
1.367188,-1.849324,-1.849324,-1.383488,-1.564880,-2.951075,-1.849324
1.375000,-1.793615,-1.793615,-1.354240,-1.497605,-2.976413,-1.793615
1.382812,-1.849444,-1.849444,-1.383695,-1.565327,-2.950999,-1.849444
1.390625,-1.793567,-1.793567,-1.354029,-1.497152,-2.976496,-1.793567
1.398438,-1.849564,-1.849564,-1.383908,-1.565787,-2.950916,-1.849564
1.406250,-1.793520,-1.793520,-1.353815,-1.496684,-2.976582,-1.793520
1.414062,-1.849682,-1.849682,-1.384127,-1.566262,-2.950832,-1.849682
1.421875,-1.793474,-1.793474,-1.353592,-1.496202,-2.976673,-1.793474
1.429688,-1.849800,-1.849800,-1.384350,-1.566753,-2.950737,-1.849800
1.437500,-1.793429,-1.793429,-1.353364,-1.495704,-2.976773,-1.793429
1.445312,-1.849917,-1.849917,-1.384584,-1.567258,-2.950637,-1.849917
1.453125,-1.793386,-1.793386,-1.353128,-1.495190,-2.976877,-1.793386
1.460938,-1.850033,-1.850033,-1.384821,-1.567781,-2.950531,-1.850033
1.468750,-1.793345,-1.793345,-1.352886,-1.494659,-2.976987,-1.793345
1.476562,-1.850148,-1.850148,-1.385067,-1.568320,-2.950421,-1.850148
1.484375,-1.793305,-1.793305,-1.352637,-1.494110,-2.977106,-1.793305
1.492188,-1.850260,-1.850260,-1.385321,-1.568879,-2.950298,-1.850260
1.500000,-1.793267,-1.793267,-1.352380,-1.493542,-2.977234,-1.793267
1.507812,-1.850372,-1.850372,-1.385582,-1.569456,-2.950170,-1.850372
1.515625,-1.793232,-1.793232,-1.352115,-1.492954,-2.977364,-1.793232
1.523438,-1.850481,-1.850481,-1.385849,-1.570055,-2.950034,-1.850481
1.531250,-1.793200,-1.793200,-1.351842,-1.492347,-2.977508,-1.793200
1.539062,-1.850586,-1.850586,-1.386125,-1.570673,-2.949887,-1.850586
1.546875,-1.793171,-1.793171,-1.351562,-1.491716,-2.977660,-1.793171
1.554688,-1.850690,-1.850690,-1.386412,-1.571316,-2.949733,-1.850690
1.562500,-1.793145,-1.793145,-1.351271,-1.491061,-2.977818,-1.793145
1.570312,-1.850791,-1.850791,-1.386707,-1.571982,-2.949573,-1.850791
1.578125,-1.793123,-1.793123,-1.350970,-1.490382,-2.977988,-1.793123
1.585938,-1.850888,-1.850888,-1.387013,-1.572675,-2.949398,-1.850888
1.593750,-1.793107,-1.793107,-1.350660,-1.489677,-2.978169,-1.793107
1.601562,-1.850981,-1.850981,-1.387327,-1.573393,-2.949212,-1.850981
1.609375,-1.793094,-1.793094,-1.350340,-1.488945,-2.978362,-1.793094
1.617188,-1.851070,-1.851070,-1.387653,-1.574141,-2.949017,-1.851070
1.625000,-1.793087,-1.793087,-1.350007,-1.488181,-2.978566,-1.793087
1.632812,-1.851154,-1.851154,-1.387989,-1.574919,-2.948809,-1.851154
1.640625,-1.793086,-1.793086,-1.349664,-1.487388,-2.978781,-1.793086
1.648438,-1.851232,-1.851232,-1.388340,-1.575729,-2.948587,-1.851232
1.656250,-1.793093,-1.793093,-1.349308,-1.486560,-2.979012,-1.793093
1.664062,-1.851302,-1.851302,-1.388702,-1.576575,-2.948349,-1.851302
1.671875,-1.793107,-1.793107,-1.348938,-1.485696,-2.979257,-1.793107
1.679688,-1.851365,-1.851365,-1.389076,-1.577457,-2.948096,-1.851365
1.687500,-1.793130,-1.793130,-1.348556,-1.484794,-2.979520,-1.793130
1.695312,-1.851421,-1.851421,-1.389465,-1.578380,-2.947829,-1.851421
1.703125,-1.793162,-1.793162,-1.348158,-1.483851,-2.979797,-1.793162
1.710938,-1.851467,-1.851467,-1.389869,-1.579344,-2.947543,-1.851467
1.718750,-1.793206,-1.793206,-1.347747,-1.482864,-2.980094,-1.793206
1.726562,-1.851504,-1.851504,-1.390290,-1.580355,-2.947236,-1.851504
1.734375,-1.793239,-1.793239,-1.347317,-1.481829,-2.980412,-1.793239
1.742188,-1.851456,-1.851456,-1.390724,-1.581415,-2.946908,-1.851456
1.750000,-1.793221,-1.793221,-1.346870,-1.480742,-2.980751,-1.793221
1.757812,-1.851379,-1.851379,-1.391179,-1.582528,-2.946556,-1.851379
1.765625,-1.793218,-1.793218,-1.346406,-1.479603,-2.981117,-1.793218
1.773438,-1.851285,-1.851285,-1.391651,-1.583698,-2.946180,-1.851285
1.781250,-1.793232,-1.793232,-1.345921,-1.478402,-2.981505,-1.793232
1.789062,-1.851174,-1.851174,-1.392143,-1.584929,-2.945776,-1.851174
1.796875,-1.793265,-1.793265,-1.345418,-1.477136,-2.981926,-1.793265
1.804688,-1.851041,-1.851041,-1.392656,-1.586229,-2.945340,-1.851041
1.812500,-1.793319,-1.793319,-1.344890,-1.475800,-2.982377,-1.793319
1.820312,-1.850885,-1.850885,-1.393196,-1.587602,-2.944874,-1.850885
1.828125,-1.793396,-1.793396,-1.344340,-1.474388,-2.982864,-1.793396
1.835938,-1.850703,-1.850703,-1.393757,-1.589056,-2.944369,-1.850703
1.843750,-1.793500,-1.793500,-1.343763,-1.472891,-2.983392,-1.793500
1.851562,-1.850491,-1.850491,-1.394345,-1.590598,-2.943822,-1.850491
1.859375,-1.793635,-1.793635,-1.343157,-1.471302,-2.983960,-1.793635
1.867188,-1.850245,-1.850245,-1.394960,-1.592236,-2.943227,-1.850245
1.875000,-1.793805,-1.793805,-1.342523,-1.469613,-2.984578,-1.793805
1.882812,-1.849961,-1.849961,-1.395605,-1.593980,-2.942583,-1.849961
1.890625,-1.794014,-1.794014,-1.341860,-1.467810,-2.985252,-1.794014
1.898438,-1.849632,-1.849632,-1.396284,-1.595845,-2.941877,-1.849632
1.906250,-1.794270,-1.794270,-1.341160,-1.465882,-2.985989,-1.794270
1.914062,-1.849254,-1.849254,-1.396997,-1.597839,-2.941111,-1.849254
1.921875,-1.794579,-1.794579,-1.340425,-1.463815,-2.986794,-1.794579
1.929688,-1.848817,-1.848817,-1.397747,-1.599983,-2.940266,-1.848817
1.937500,-1.794948,-1.794948,-1.339650,-1.461593,-2.987681,-1.794948
1.945312,-1.848315,-1.848315,-1.398539,-1.602290,-2.939336,-1.848315
1.953125,-1.795388,-1.795388,-1.338831,-1.459195,-2.988659,-1.795388
1.960938,-1.847737,-1.847737,-1.399374,-1.604784,-2.938306,-1.847737
1.968750,-1.795911,-1.795911,-1.337967,-1.456597,-2.989745,-1.795911
1.976562,-1.847070,-1.847070,-1.400254,-1.607492,-2.937162,-1.847070
1.984375,-1.796530,-1.796530,-1.337056,-1.453772,-2.990954,-1.796530
1.992188,-1.846299,-1.846299,-1.401190,-1.610442,-2.935883,-1.846299
2.000000,-1.797261,-1.797261,-1.336086,-1.450687,-2.992309,-1.797261
2.007812,-1.845408,-1.845408,-1.402178,-1.613675,-2.934446,-1.845408
2.015625,-1.798125,-1.798125,-1.335060,-1.447299,-2.993838,-1.798125
2.023438,-1.844375,-1.844375,-1.403227,-1.617232,-2.932820,-1.844375
